"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/6-chili-dogs-and-3-medium-fries-crowd-pleaser-deal/","1","#14 Crowd Pleaser: 6 Chili Dogs & 3 Medium Fries - Wienerschnitzel","66","603","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/polish-sandwich-combo-meal/","1","Polish Sandwich Combo - Wienerschnitzel","39","374","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-mustard-dogs-combo-meal/","1","Two Mustard Dogs Combo - Wienerschnitzel","40","395","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chicago-dogs-combo-meal/","1","Two Chicago Dogs Combo - Wienerschnitzel","40","393","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-chili-cheese-dogs-combo-meal/","1","Two Chili Cheese Dogs Combo - Wienerschnitzel","45","432","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/4-corn-dogs-4-chili-dogs-4-chili-cheese-fries-crowd-pleaser-deal/","1","#15 Crowd Pleaser: 4 Chili Dogs, 4 Corn Dogs, & 4 Chili Cheese Fries - Wienerschnitzel","86","762","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/chicken-tender-two-piece-combo-meal/","1","Chicken Tender 2 Piece Combo - Wienerschnitzel","46","438","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-corn-dogs-combo-meal/","1","Two Corn Dogs Combo - Wienerschnitzel","37","363","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-kraut-dogs-combo-meal/","1","Two Kraut Dogs Combo - Wienerschnitzel","38","370","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/two-bbq-bacon-dogs-combo-meal/","1","Two BBQ Bacon Dogs Combo - Wienerschnitzel","42","419","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/jalapeno-poppers/","1","Jalapeño Poppers","16","161","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chicken-tenders-two-piece/","1","Chicken Tenders","15","149","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chili-cheese-fries-burrito/","1","Chili Cheese Fries Burrito","26","225","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/chili-cheese-fries/","1","Chili Cheese Fries","18","160","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/french-fries/","1","French Fries","12","110","Indexable",""
"https://www.wienerschnitzel.com/location-results/","1","Store Locations - Wienerschnitzel","33","299","Indexable",""
"https://www.wienerschnitzel.com/location/181-mchenry-grant-modesto-204-mchenry-modesto-ca-95354/","1","Wienerschnitzel fast food by Modesto 95354","42","396","Indexable",""
"https://www.wienerschnitzel.com/location/521-menaul-eubank-albuquerque-9651-menaul-blvd-ne-albuquerque-nm-87112/","1","Wienerschnitzel Hot Dog Chain Near Albuquerque 87112","52","502","Indexable",""
