"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.deltaco.com/news&item_id=259.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","Del Taco - News - Article 259","29","256","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","News","4","","0","ALL","","","https://www.deltaco.com/index.php?page=news&item_id=259","","","","","","22147","22147","22147","8,484","","831","109","7,624","71,637","Assez facile","24,282","5","0","","19","16","0","17,780","33","24","0","20","13","0","","","","","f058b95c203f305452feb2bea386050d","0,634","Wed, 11 Feb 2026 02:27:53 GMT","","","","en","1.1","","","","","","https://www.deltaco.com/news&item_id=259.html","2026-02-27 14:06:48"
"https://www.deltaco.com/news&item_id=260.html","text/html; charset=UTF-8","200","OK","Indexable","","Del Taco - News - Article 260","29","256","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","News","4","","0","ALL","","","","","","","","","22160","22160","22160","8,489","","751","99","7,586","72,968","Assez facile","21,793","5","0","","4","2","0","2,220","36","26","0","21","14","0","","","","","8c519c2a322657d040d97f52272151fa","0,658","Wed, 11 Feb 2026 21:39:40 GMT","","","","en","1.1","","","","","","https://www.deltaco.com/news&item_id=260.html","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=245","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,645","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=245","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=242","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,224","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=242","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=259","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,212","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=259","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=249","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,225","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=249","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=252","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,649","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=252","2026-02-27 14:06:48"
"https://www.deltaco.com/index.php?page=news&item_id=251","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,633","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=251","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=news&item_id=244","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,656","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=244","2026-02-27 14:06:49"
"https://www.deltaco.com/index.php?page=news&item_id=247","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","6","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,684","","","","","","1.1","","","","","","https://www.deltaco.com/index.php?page=news&item_id=247","2026-02-27 14:06:49"
