"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.rachatdevoiture.com/","text/html; charset=UTF-8","200","OK","Indexable","","Accueil - Rachat de voiture","27","237","Rachat de Véhicules – Tous Départements de France","49","474","Rachat de tous types de véhicules dans tous les départements de France. Voitures, motos, bateaux, engins de chantier. Estimation gratuite et paiement rapide.","157","977","","0","Rachat de Tous Types de Véhicules","33","Nos Services de Rachat","22","Pourquoi Choisir Notre Service ?","32","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.rachatdevoiture.com/","","","","","","94849","20794","20794","7,966","","468","105","4,457","70,892","Assez facile","3,390","0","0","","52","6","0","100,000","35","7","0","0","0","0","","","","","a512c0702443e7aed39ebbd1e4fa113a","1,428","","","","","fr-FR","1.1","","","","","","https://www.rachatdevoiture.com/","2026-03-11 14:39:38"
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.draggable.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","8522","8522","8522","3,265","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,190","Sun, 01 Feb 2026 22:51:27 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.draggable.min.js","2026-03-11 14:39:41"
"https://www.rachatdevoiture.com/wp-content/uploads/2026/01/RACHATD.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","16161","16161","16161","6,191","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,343","Mon, 26 Jan 2026 18:55:12 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/uploads/2026/01/RACHATD.png","2026-03-11 14:39:41"
"https://www.rachatdevoiture.com/wp-content/themes/flatsome-child/style.css?ver=3.0","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","204","204","204","0,078","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,342","Tue, 20 Jan 2026 16:59:05 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/themes/flatsome-child/style.css?ver=3.0","2026-03-11 14:39:41"
"https://www.rachatdevoiture.com/wp-includes/js/hoverIntent.min.js?ver=1.10.2","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","706","706","706","0,270","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,343","Thu, 06 Feb 2025 17:27:26 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-includes/js/hoverIntent.min.js?ver=1.10.2","2026-03-11 14:39:41"
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/bazz-widget.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1740","1740","1740","0,667","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,356","Sun, 01 Feb 2026 22:51:27 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/bazz-widget.js","2026-03-11 14:39:41"
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.18.6","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","30147","30147","30147","11,549","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,286","Tue, 20 Jan 2026 16:58:36 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.18.6","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/accueil/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","12","6","0","100,000","0","0","0","0","0","0","","","","","","0,327","","https://www.rachatdevoiture.com/","Redirection HTTP","","","1.1","","","","","","https://www.rachatdevoiture.com/accueil/","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/prendre-rdv/","text/html; charset=UTF-8","200","OK","Indexable","","Prendre RDV - Rachat de voiture","31","286","Prendre Rendez-vous – Rachat de Véhicules","41","394","Prenez rendez-vous pour le rachat de votre véhicule. Expertise gratuite et déplacement dans tous les départements.","114","710","","0","Prenez Rendez-vous","18","Réservez votre créneau","22","Le processus en 3 étapes simples","32","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.rachatdevoiture.com/prendre-rdv/","","","","","","107235","25113","25113","9,620","","341","80","4,263","78,214","Assez facile","2,247","1","1","","24","6","0","100,000","21","7","0","0","0","0","","","","","a061db7e696f6fda2cbce404af09265f","0,423","","","","","fr-FR","1.1","","","","","","https://www.rachatdevoiture.com/prendre-rdv/","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","16781","16781","16781","6,428","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,072","Tue, 20 Jan 2026 16:58:36 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Indexable","","Politique de confidentialité - Rachat de voiture","48","411","","0","0","","0","0","","0","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.rachatdevoiture.com/politique-de-confidentialite/","","","","","","92373","22701","22701","8,696","","2452","371","6,609","65,429","Normal","17,255","1","1","","10","6","0","100,000","21","7","0","1","1","0","","","","","c34e31ee03857c70bf2182f82db6a04a","0,418","","","","","fr-FR","1.1","","","","","","https://www.rachatdevoiture.com/politique-de-confidentialite/","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-wpforms-ed443a3a3d45126a22ce.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1784","1784","1784","0,683","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,204","Mon, 02 Feb 2026 19:18:15 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-wpforms-ed443a3a3d45126a22ce.js","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4872","4872","4872","1,866","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,077","Fri, 09 Jun 2023 05:49:24 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","30368","30368","30368","11,633","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,222","Mon, 28 Aug 2023 17:14:23 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search.js?ver=3.18.6","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4967","4967","4967","1,903","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,204","Tue, 20 Jan 2026 16:58:37 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search.js?ver=3.18.6","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-content/uploads/2026/02/rachatlogoblanc.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","14849","14849","14849","5,688","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,247","Mon, 02 Feb 2026 18:32:23 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/uploads/2026/02/rachatlogoblanc.png","2026-03-11 14:39:42"
"https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.maskedinput.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1960","1960","1960","0,751","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,217","Sun, 01 Feb 2026 22:51:27 GMT","","","","","1.1","","","","","","https://www.rachatdevoiture.com/wp-content/plugins/bazz-callback-widget/js/jquery.maskedinput.min.js","2026-03-11 14:39:42"
