"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://ofreropizza.com/livraison-pizza-amazon-toulouse/","text/html; charset=UTF-8","200","OK","Indexable","","Livraison de pizza sur Amazon Toulouse | 06.15.80.51.47","55","504","","0","0","Commander une pizza en livraison et faites vous directement livrer en entreprise sur le site Amazon route d'Espagne à Toulouse.","127","785","","0","Commandez votre pizza sur Amazon à Toulouse – Livraison express","63","Des pizzas pour tous les goûts – Commandez et recevez rapidement votre livraison","80","Comptez sur notre expérience et notre sérieux pour la livraison de pizza sur le site Amazon Toulouse ?","102","Appeler le standard après avoir consulté notre carte","52","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/livraison-pizza-amazon-toulouse/","","","","","","185080","50131","50131","19,204","","570","93","6,129","78,909","Assez facile","1,931","2","1","","4","2","0","1,190","36","19","0","2","2","0","","","","","dc53c5f1f31c5b26e7afcf3807dfd1db","0,199","Mon, 02 Feb 2026 18:21:46 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/livraison-pizza-amazon-toulouse/","2026-02-26 15:14:43"
"https://ofreropizza.com/produit/xtrem/","text/html; charset=UTF-8","200","OK","Indexable","","Xtrem' - Ofreropizza","20","179","","0","0","","0","0","","0","Xtrem’","6","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/produit/xtrem/","","","","","","297296","59539","59539","22,808","","418","148","2,824","77,878","Assez facile","0,919","2","2","","29","9","0","5,360","73","33","0","2","2","0","","","","","30ba42e05b0cdc72e91b49307c0dbbca","0,162","Mon, 02 Feb 2026 13:50:16 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/produit/xtrem/","2026-02-26 15:14:43"
"https://ofreropizza.com/livraison-pizza-esquirol-toulouse/","text/html; charset=UTF-8","200","OK","Indexable","","Livraison de pizza à Esquirol Toulouse| 06.15.80.51.47","54","479","","0","0","Vous souhaitez une livraison de pizza sur Esquirol à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","112","685","","0","Commandez votre pizza sur Esquirol à Toulouse","45","","0","Pourquoi commander chez Ofrero Pizza pour être livré à Esquirol ?","65","Consulter notre carte et passer commande auprès de notre enseigne","65","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/livraison-pizza-esquirol-toulouse/","","","","","","180756","49035","49035","18,784","","481","80","6,013","76,207","Assez facile","1,703","2","1","","4","2","0","1,190","37","20","0","2","2","0","","","","","8cc257c902aaaf5bbc43b76e57e93ab3","0,185","Mon, 02 Feb 2026 20:07:37 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/livraison-pizza-esquirol-toulouse/","2026-02-26 15:14:43"
"https://ofreropizza.com/2024/09/12/linteret-dune-pizza-mensuelle-pour-votre-pizzeria-a-toulouse/","text/html; charset=UTF-8","200","OK","Indexable","","L’intérêt d’une pizza mensuelle pour votre pizzeria à Toulouse - Ofreropizza","76","671","","0","0","","0","0","","0","L’intérêt d’une pizza mensuelle pour votre pizzeria à Toulouse","62","","0","Une pizza mensuelle pour cuisiner au rythme des saisons","55","Une façon d’innover sur la carte","32","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/2024/09/12/linteret-dune-pizza-mensuelle-pour-votre-pizzeria-a-toulouse/","","","","","","178822","50290","50290","19,265","","634","109","5,817","73,364","Assez facile","2,382","2","4","","17","6","0","3,570","51","30","0","2","2","0","","","","","b3ebefa28201418f879426b591bd3540","0,201","Mon, 02 Feb 2026 16:37:10 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/2024/09/12/linteret-dune-pizza-mensuelle-pour-votre-pizzeria-a-toulouse/","2026-02-26 15:14:43"
"https://ofreropizza.com/produit/tartelette-chocolat/","text/html; charset=UTF-8","200","OK","Indexable","","Tartelette Chocolat - Ofreropizza","33","293","","0","0","","0","0","","0","Tartelette Chocolat","19","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/produit/tartelette-chocolat/","","","","","","208536","54329","54329","20,812","","242","66","3,667","75,864","Assez facile","0,771","2","2","","14","4","0","2,380","62","26","0","2","2","0","","","","","e4b505dfa0f9bb73cb368e9d59b1e787","0,108","Mon, 02 Feb 2026 20:10:30 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/produit/tartelette-chocolat/","2026-02-26 15:14:43"
"https://ofreropizza.com/produit/suprem/","text/html; charset=UTF-8","200","OK","Indexable","","Suprêm' - Ofreropizza","21","193","","0","0","","0","0","","0","Suprêm’","7","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/produit/suprem/","","","","","","299091","59572","59572","22,821","","398","144","2,764","76,705","Assez facile","0,873","2","2","","33","10","0","5,950","75","33","0","2","2","0","","","","","d0bf10d6deb02861331e1372a1d95aac","0,104","Mon, 02 Feb 2026 20:09:42 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/produit/suprem/","2026-02-26 15:14:43"
"https://ofreropizza.com/produit/duchesse/","text/html; charset=UTF-8","200","OK","Indexable","","Pizza au magret de canard | La duchesse | Ofreropizza.com","57","529","","0","0","Venez déguster au coeur de notre enseigne toulousaine notre célèbre pizza au magret de canard. Une pizza dont la ville se félicite.","131","795","","0","Duchesse","8","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/produit/duchesse/","","","","","","302630","60923","60923","23,338","","724","181","4,000","78,212","Assez facile","1,494","2","2","","34","10","0","5,950","76","33","0","2","2","0","","","","","fba09d5886c506cc40b389b185a0a9ab","0,115","Mon, 02 Feb 2026 20:09:32 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/produit/duchesse/","2026-02-26 15:14:43"
"https://ofreropizza.com/blocks/dess/","text/html; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","25","25","0,010","","0","","","","","0,000","2","2","","1","1","0","0,600","0","0","0","0","0","0","","","","","d41d8cd98f00b204e9800998ecf8427e","1,244","","","","","","1.1","","","","","","https://ofreropizza.com/blocks/dess/","2026-02-26 15:14:42"
"https://ofreropizza.com/livraison-pizza-place-du-fer-a-cheval-toulouse/","text/html; charset=UTF-8","200","OK","Indexable","","Livraison de pizza Place du Fer à Cheval | 06.15.80.51.47","57","503","","0","0","Vous souhaitez une livraison de pizza Place du Fer à Cheval à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","121","744","","0","Commandez votre pizza en livraison sur la Place du Fer à Cheval (31300)","71","","0","Des pizzas artisanales pour une livraison rapide et efficace","60","Un service attentif et de proximité pour votre satisfaction","59","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/livraison-pizza-place-du-fer-a-cheval-toulouse/","","","","","","181934","49302","49302","18,887","","554","91","6,088","79,101","Assez facile","1,901","2","1","","4","2","0","1,190","37","20","0","2","2","0","","","","","c27ea97a3c759dd83d0d65ac5c5bfa1e","0,132","Mon, 02 Feb 2026 20:07:37 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/livraison-pizza-place-du-fer-a-cheval-toulouse/","2026-02-26 15:14:43"
"https://ofreropizza.com/terms-and-conditions/","text/html; charset=UTF-8","200","OK","Indexable","","Terms and Conditions - Ofreropizza","34","316","","0","0","","0","0","","0","","0","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ofreropizza.com/terms-and-conditions/","","","","","","162251","45653","45653","17,489","","187","45","4,156","81,372","Facile","0,774","2","1","","4","2","0","1,190","36","19","0","2","2","0","","","","","9a5bb158d49f5c89a4ec54422fd6d784","0,097","Mon, 02 Feb 2026 20:06:59 GMT","","","","fr-FR","1.1","","","","","","https://ofreropizza.com/terms-and-conditions/","2026-02-26 15:14:43"
