"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://www.order.store/store/quick-dijon-quetigny/U4SGhnBCSou1zG1uLuPWbA","","0","Bloqué par robots.txt","4","1"
"https://www.just-eat.fr/menu/quick-nimes-capouchine?preview","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://deliveroo.fr/fr/menu/dijon/quetigny/quick-dijon-quetigny","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-garges-les-gonesses/BW5fBVIST2egcBKoKD2d8Q","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/paris/arnouville/quick-garges-les-gonesses?geohash=u09wweh1kc6w","text/html; charset=utf-8","200","OK","4","1"
"https://www.order.store/store/quick-coignieres/nE1kcyjwSfe735mlvwXQkg","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-poitiers-drive/WoIOtrUyRoqL4p9v8pIkxA","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/poitiers/trois-cites-pont-neuf/quick-poitiers-drive","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.ubereats.com/fr/store/quick-lillenium/SRn6eSgkReyycQA5BdKvBQ?pl","text/html; charset=utf-8","200","OK","4","1"
"https://www.order.store/store/quick-dammarie-les-lys/jR-uA1NaQ4i08v98yowpRw","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-meaux-victoire/xeBwtTl-SyiSH8RF7L_KOg","","0","Bloqué par robots.txt","4","1"
"https://www.ubereats.com/fr/store/quick-istres/C2T2Au1HVgWDLdEA8CIjXg","text/html; charset=utf-8","200","OK","4","1"
"https://www.ubereats.com/fr/store/quick-marseille-vieux-port/LW_qxR_TUp6-uwUndAlsBA?diningMode=DELIVERY","text/html; charset=utf-8","200","OK","4","1"
"https://www.just-eat.fr/menu/quick-meaux-victoire?preview","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://deliveroo.fr/fr/menu/meaux/poincy/quick-meaux-victoire-ouverture","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-auch/MSBEdSgOUhqhFvnhA2Fz0w","","0","Bloqué par robots.txt","4","1"
"https://www.ubereats.com/fr/store/quick-bourges/e1OCcIsMRcGVZasKmGE89A?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkxhJTIwRCVDMyVBOWZlbnNlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSjNkR3RxZ1ZsNWtjUmlYZ3M2R3pJaF9FJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZ","text/html; charset=utf-8","200","OK","4","1"
"https://www.order.store/store/quick-reims-cormontreuil/ubDQfWjITGKnZ8LdoA4ARA","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-saint-denis-cv/6xMucPSEQyWSZ3EQieC4kg","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/paris/aulnay-oparinor/quick-aulnay","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://deliveroo.fr/fr/menu/reims/reims-cormontreuil/quick-reims-cormontreuil","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-montargis/1ihMzcsXTae9JuIFvuBL-w","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-argenteuil/83DNyriuR4KBvc58wGQnHQ","","0","Bloqué par robots.txt","4","1"
"https://www.just-eat.fr/menu/quick-argenteuil?preview","text/html; charset=UTF-8","403","Forbidden","4","1"
"https://www.order.store/store/quick-creil/unCTic0jSiyo7x_Sy_lPKg","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-montbeliard/HqCJ2JBvTQmj5zhTERrZbw","","0","Bloqué par robots.txt","4","1"
"https://deliveroo.fr/fr/menu/paris/dammarie-les-lys/quick-dammarie-les-lys/?geohash=u09uhpsezd5w","text/html; charset=utf-8","200","OK","4","1"
"https://www.order.store/store/quick-corbeil/rvys3TIDS6ieaLNZvTrYBA","","0","Bloqué par robots.txt","4","1"
"https://www.order.store/store/quick-oyonnax/D0ddOsXyQ9C4NPj5y7g4lA","","0","Bloqué par robots.txt","4","1"
"https://www.just-eat.fr/menu/quick-corbeil?preview","text/html; charset=UTF-8","403","Forbidden","4","1"
