"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.quick.fr/mealImages/products/list/product_826.jpg","image/jpeg","12369","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_809.jpg","image/jpeg","10479","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_937.jpg","image/jpeg","7343","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_805.jpg","image/jpeg","6645","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_823.jpg","image/jpeg","4449","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_799.jpg","image/jpeg","4072","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_818.jpg","image/jpeg","10442","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1140.jpg","image/jpeg","3007","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_801.jpg","image/jpeg","7011","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1060.jpg","image/jpeg","11843","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1069.jpg","image/jpeg","6368","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_819.jpg","image/jpeg","9835","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_798.jpg","image/jpeg","5072","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_822.jpg","image/jpeg","4018","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_806.jpg","image/jpeg","8611","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_861.jpg","image/jpeg","4854","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_807.jpg","image/jpeg","9167","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_939.jpg","image/jpeg","6981","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_938.jpg","image/jpeg","6856","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1062.jpg","image/jpeg","10123","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_797.jpg","image/jpeg","4358","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_803.jpg","image/jpeg","6115","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_987.jpg","image/jpeg","4381","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1206.jpg","image/jpeg","17888","2","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1207.jpg","image/jpeg","15667","2","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_984.jpg","image/jpeg","25880","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1231.jpg","image/jpeg","26440","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_844.jpg","image/jpeg","17733","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_903.jpg","image/jpeg","8740","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1109.jpg","image/jpeg","12231","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_846.jpg","image/jpeg","17299","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_847.jpg","image/jpeg","16091","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_843.jpg","image/jpeg","12501","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1139.jpg","image/jpeg","8039","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_852.jpg","image/jpeg","10166","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1232.jpg","image/jpeg","26553","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1208.jpg","image/jpeg","13257","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_724.jpg","image/jpeg","14205","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_851.jpg","image/jpeg","7428","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_845.jpg","image/jpeg","16808","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1105.jpg","image/jpeg","14055","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_839.jpg","image/jpeg","11573","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_834.jpg","image/jpeg","6943","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1209.jpg","image/jpeg","17532","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_848.jpg","image/jpeg","12732","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1216.jpg","image/jpeg","11370","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1198.jpg","image/jpeg","15241","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_829.jpg","image/jpeg","11859","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_721.jpg","image/jpeg","11473","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1166.jpg","image/jpeg","10583","1","Indexable","",""
"https://www.quick.fr/_next/static/images/quick-single-restaurant-a10cee52fc2710a3f4ec0cd7030994ff.jpg","image/jpeg","56218","189","Indexable","",""
